title,authors,journal,year,description,pages,publisher,conference,total_citations
Research on software testing techniques and software automation testing tools,"K Sneha, GM Malle","2017 international conference on energy, communication, data analytics and …, 2017",2017,,,,,148
Fake product identification system using blockchain,"M Mallegowda, A Kanavalli, MN Thippeswamy, K Gupta, L Khandelwal, ...","2022 4th International Conference on Circuits, Control, Communication and …, 2022",2022,,,,,6
Prediction of air quality index using machine data learning on atmospheric.,"M Mallegowda, A Kanavalli, Y Verma, SJK Vamsi, T Mukesh, ...",,2021,,,,,6
Intelligent transportation system based on the principles of service-oriented architecture,"M Mallegowda, V Nete, A Kanavalli","2015 Twelfth International Conference on Wireless and Optical Communications …, 2015",2015,,,,,4
