title,link,citation_id,authors,publication,year,cited_by.value,cited_by.link,cited_by.serpapi_link,cited_by.cites_id
A new ensemble of texture descriptors based on local appearance-based methods for face anti-spoofing system,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=EHSnNYEAAAAJ&pagesize=100&citation_for_view=EHSnNYEAAAAJ:u5HHmVD_uO8C,EHSnNYEAAAAJ:u5HHmVD_uO8C,"G Thippeswamy, H Vinutha, R Dhanapal","J. Crit. Rev 7 (11), 644-649, 2020",2020,8,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15765987170068180459,https://serpapi.com/search.json?cites=15765987170068180459&engine=google_scholar&hl=en,15765987170068180459
Antispoofing in face biometrics: A comprehensive study on software-based techniques,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=EHSnNYEAAAAJ&pagesize=100&citation_for_view=EHSnNYEAAAAJ:Y0pCki6q_DkC,EHSnNYEAAAAJ:Y0pCki6q_DkC,"H Vinutha, G Thippeswamy","Computer Science and Information Technologies 4 (1), 1-13, 2023",2023,5,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4545675688769224026,https://serpapi.com/search.json?cites=4545675688769224026&engine=google_scholar&hl=en,4545675688769224026
Credit card fraud identification using machine learning algorithm,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=EHSnNYEAAAAJ&pagesize=100&citation_for_view=EHSnNYEAAAAJ:LkGwnXOMwfcC,EHSnNYEAAAAJ:LkGwnXOMwfcC,A Joyson,"The Journal of Contemporary Issues in Business and Government, 2021",2021,5,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9538268535596352547,https://serpapi.com/search.json?cites=9538268535596352547&engine=google_scholar&hl=en,9538268535596352547
TLA framework---a transfer learning based approach for face anti-spoofing,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=EHSnNYEAAAAJ&pagesize=100&citation_for_view=EHSnNYEAAAAJ:UebtZRa9Y70C,EHSnNYEAAAAJ:UebtZRa9Y70C,"H Vinutha, G Thippeswamy","emphInternational Journal of Computer Theory and Engineering 15 (4), 143-151, 2023",2023,3,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17049908702693770786,https://serpapi.com/search.json?cites=17049908702693770786&engine=google_scholar&hl=en,17049908702693770786
Advanced meta-learning techniques for inference of neural states under anesthetic conditions,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=EHSnNYEAAAAJ&pagesize=100&citation_for_view=EHSnNYEAAAAJ:Se3iqnhoufwC,EHSnNYEAAAAJ:Se3iqnhoufwC,"H Vinutha, BV Yogananda","2024 international Conference on recent Advances in Science and engineering …, 2024",2024,1,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1930033897484937471,https://serpapi.com/search.json?cites=1930033897484937471&engine=google_scholar&hl=en,1930033897484937471
Spoof detection using Elegant Pairing method on Stockwell Transform in Face Biometric System,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=EHSnNYEAAAAJ&pagesize=100&citation_for_view=EHSnNYEAAAAJ:Tyk-4Ss8FVUC,EHSnNYEAAAAJ:Tyk-4Ss8FVUC,VH Dr.Thippeswamy G,"NeuroQuantology 20 (10), 8888-8896, 2022",2022,1,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4632415840240789533,https://serpapi.com/search.json?cites=4632415840240789533&engine=google_scholar&hl=en,4632415840240789533
