title,link,citation_id,authors,publication,year,cited_by.value,cited_by.link,cited_by.serpapi_link,cited_by.cites_id
"A comparative study of classifiers for music genre classification based on feature extractors. In 2016 IEEE Distributed Computing, VLSI, Electrical Circuits and Robotics (DISCOVER)",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CF_Afu8AAAAJ&pagesize=100&citation_for_view=CF_Afu8AAAAJ:3fE2CSJIrl8C,CF_Afu8AAAAJ:3fE2CSJIrl8C,"DP Kumar, BJ Sowmya, KG Srinivasa","VLSI, Electrical Circuits and Robotics (DISCOVER), 190-194, 2016",2016,5.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11674102445985248250,https://serpapi.com/search.json?cites=11674102445985248250&engine=google_scholar&hl=en,11674102445985248250
Efficient Image Denoising for Effective Digitization using Image Processing Techniques and Neural Networks,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CF_Afu8AAAAJ&pagesize=100&citation_for_view=CF_Afu8AAAAJ:9yKSN-GCB0IC,CF_Afu8AAAAJ:9yKSN-GCB0IC,"KG Srinivasa, BJ Sowmya, DP Kumar, C Shetty","International Journal of Applied Evolutionary Computation (IJAEC) 7 (4), 77-93, 2016",2016,3.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5643810882029151933,https://serpapi.com/search.json?cites=5643810882029151933&engine=google_scholar&hl=en,5643810882029151933
Building a hybridised meta-heuristic optimisation algorithm for efficient cluster analysis,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CF_Afu8AAAAJ&pagesize=100&citation_for_view=CF_Afu8AAAAJ:_FxGoFyzp5QC,CF_Afu8AAAAJ:_FxGoFyzp5QC,"DP Kumar, BJ Sowmya, A Kanavalli, V Cornelio, JP Dsouza, W Memon, ...","International Journal of Business Intelligence and Data Mining 22 (1-2), 170-222, 2023",2023,2.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8759203800201122510,https://serpapi.com/search.json?cites=8759203800201122510&engine=google_scholar&hl=en,8759203800201122510
Smart Healthcare: Using IoT and Machine Learning-Based Analytics,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CF_Afu8AAAAJ&pagesize=100&citation_for_view=CF_Afu8AAAAJ:W7OEmFMy1HYC,CF_Afu8AAAAJ:W7OEmFMy1HYC,"P Sunagar, R Hanumantharaju, D Pradeep Kumar, BJ Sowmya, S Seema, ...","Artificial Intelligence for Information Management: A Healthcare Perspective …, 2021",2021,2.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6133401946535978754,https://serpapi.com/search.json?cites=6133401946535978754&engine=google_scholar&hl=en,6133401946535978754
Fog Data Analytics: Systematic Computational Classification and Procedural Paradigm,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CF_Afu8AAAAJ&pagesize=100&citation_for_view=CF_Afu8AAAAJ:u-x6o8ySG0sC,CF_Afu8AAAAJ:u-x6o8ySG0sC,"D Pradeep Kumar, R Hanumantharaju, BJ Sowmya, KN Shreenath, ...","Fog Data Analytics for IoT Applications: Next Generation Process Model with …, 2020",2020,2.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13563303718457282366,https://serpapi.com/search.json?cites=13563303718457282366&engine=google_scholar&hl=en,13563303718457282366
Deep learning methodologies based on metaheuristics for predictive engine maintenance,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CF_Afu8AAAAJ&pagesize=100&citation_for_view=CF_Afu8AAAAJ:8k81kl-MbHgC,CF_Afu8AAAAJ:8k81kl-MbHgC,"P Kumar, BJ Sowmya, A Kanavalli, S Supreeth, G Shruthi, S Rohith","Acta IMEKO 13 (2), 1-15, 2024",2024,1.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7241018023454934396,https://serpapi.com/search.json?cites=7241018023454934396&engine=google_scholar&hl=en,7241018023454934396
Development of an Efficient Monitoring System Using Fog Computing and Machine Learning Algorithms on Healthcare 4.0,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CF_Afu8AAAAJ&pagesize=100&citation_for_view=CF_Afu8AAAAJ:Se3iqnhoufwC,CF_Afu8AAAAJ:Se3iqnhoufwC,"BJ Sowmya, P Kumar, R Hanumantharaju, G Mundada, A Kanavalli, ...","Deep Learning Applications for Cyber-Physical Systems, 78-98, 2022",2022,1.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8615776490630952776,https://serpapi.com/search.json?cites=8615776490630952776&engine=google_scholar&hl=en,8615776490630952776
Large Scale Efficient Clustering Using DBSCAN and Ensemble Techniques,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CF_Afu8AAAAJ&pagesize=100&citation_for_view=CF_Afu8AAAAJ:eQOLeE2rZwMC,CF_Afu8AAAAJ:eQOLeE2rZwMC,"D Pradeep Kumar, BJ Sowmya, R Hanumantharaju, A Kanavalli, ...","International Conference on Advanced Informatics for Computing Research, 622-636, 2020",2020,1.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10746507139027205587,https://serpapi.com/search.json?cites=10746507139027205587&engine=google_scholar&hl=en,10746507139027205587
Optimizing Big Data Processing: An Analysis of Hadoop's Master-Slave Architecture and the Emergence of Serverless Solutions,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CF_Afu8AAAAJ&pagesize=100&citation_for_view=CF_Afu8AAAAJ:kNdYIx-mwKoC,CF_Afu8AAAAJ:kNdYIx-mwKoC,"RS Ramesh, DP Kumar","2025 International Conference on Next Generation Communication & Information …, 2025",2025,,,,
Attention based 1-D CNN system for detection of Freezing of gait (FOG) in Parkinsons Patients,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CF_Afu8AAAAJ&pagesize=100&citation_for_view=CF_Afu8AAAAJ:0EnyYjriUFMC,CF_Afu8AAAAJ:0EnyYjriUFMC,"DP Kumar, BJ Sowmya, A Vincent, A Pandiyan","2024 15th International Conference on Computing Communication and Networking …, 2024",2024,,,,
Utility Framework for Keeping Track of Organizational Funds Check for updates,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CF_Afu8AAAAJ&pagesize=100&citation_for_view=CF_Afu8AAAAJ:hqOjcs7Dif8C,CF_Afu8AAAAJ:hqOjcs7Dif8C,"BJ Soumya, DP Kumar, A Kanavalli, SD Hrudhay, S Srivastava, S Jain, ...","ICT: Cyber Security and Applications: Proceedings of ICTCS 2023, Volume 3 …, 2024",2024,,,,
DAMIAN–data accrual machine intelligence with augmented networks for contextually coherent creative story generation,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CF_Afu8AAAAJ&pagesize=100&citation_for_view=CF_Afu8AAAAJ:ufrVoPGSRksC,CF_Afu8AAAAJ:ufrVoPGSRksC,"BJ Sowmya, DP Kumar, R Hanumantharaju, KG Srinivasa","International Journal of Business Intelligence and Data Mining 22 (1-2), 115-130, 2023",2023,,,,
Improvisation Of The Nature-Inspired Meta-Heuristic Algorithm For Optimized Clustering,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CF_Afu8AAAAJ&pagesize=100&citation_for_view=CF_Afu8AAAAJ:UebtZRa9Y70C,CF_Afu8AAAAJ:UebtZRa9Y70C,"P Kumar, BJ Sowmya, GS Sidaganti, A Kanavalli, S Anusha, ...","Webology 19 (2), 2402-2436, 2022",2022,,,,
A VQA System for Medical Image Classification using Transfer Learning,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CF_Afu8AAAAJ&pagesize=100&citation_for_view=CF_Afu8AAAAJ:IjCSPb-OGe4C,CF_Afu8AAAAJ:IjCSPb-OGe4C,"P kumar D, A Kanavalli, D C","Springer Proc 1, 2021",2021,,,,
12 A Framework for,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CF_Afu8AAAAJ&pagesize=100&citation_for_view=CF_Afu8AAAAJ:5nxA0vEk-isC,CF_Afu8AAAAJ:5nxA0vEk-isC,"T Sanjana, BJ Sowmya, DP Kumar, KG Srinivasa","Blockchain Technology for Data Privacy Management, 253, 2021",2021,,,,
Improved K-means Using an Integration of Density based and Genetic Algorithm Based Model,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CF_Afu8AAAAJ&pagesize=100&citation_for_view=CF_Afu8AAAAJ:qjMakFHDy7sC,CF_Afu8AAAAJ:qjMakFHDy7sC,"P kumar D, A Kanavalli, S Nagesh, P Joseph, P Udhayan, S Naik","solid state Technology 63 (6), 8, 2020",2020,,,,
A Vehicular Apprehension Scheme in Wireless Networks,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CF_Afu8AAAAJ&pagesize=100&citation_for_view=CF_Afu8AAAAJ:zYLM7Y9cAGgC,CF_Afu8AAAAJ:zYLM7Y9cAGgC,"AK Pramod Sunagar, Pradeep Kumar D, Mallegowda M","International Journal of Innovations & Advancement in Computer Science …, 2017",2017,,,,
"Paving the Future of Vehicle Maintenance, Breakdown Assistance and Weather Prediction Using IoT in Automobiles",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CF_Afu8AAAAJ&pagesize=100&citation_for_view=CF_Afu8AAAAJ:u5HHmVD_uO8C,CF_Afu8AAAAJ:u5HHmVD_uO8C,"BJ Sowmya, Chetan, D Pradeep Kumar, KG Srinivasa","Proceedings of the 5th International Conference on Frontiers in Intelligent …, 2017",2017,,,,
Microsense: Sensor Framework for IoT System-on-Chip,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CF_Afu8AAAAJ&pagesize=100&citation_for_view=CF_Afu8AAAAJ:UeHWp8X0CEIC,CF_Afu8AAAAJ:UeHWp8X0CEIC,"KG Srinivasa, G Hegde, K Mishra, MN Siddiqui, A Kumar, P Kumar","International Journal of Handheld Computing Research (IJHCR) 7 (3), 38-55, 2016",2016,,,,
